20
N0 214
N1 229
N2 148
N3 172
N4 168
N5 183
N6 243
N7 241
N8 159
N9 115
N10 141
N11 151
N12 111
N13 129
N14 177
N15 127
N16 136
N17 244
N18 110
N19 225
2
P0 N11 N4
P1 N5 N9
39
N4 N11 607
N5 N9 440
N0 N2 1260
N0 N3 1430
N0 N7 1612
N0 N8 1776
N1 N2 878
N1 N6 1584
N1 N8 1539
N1 N9 901
N2 N3 1009
N2 N6 1010
N3 N7 1724
N3 N8 1483
N4 N5 852
N4 N7 1099
N4 N8 1642
N5 N7 1481
N6 N13 1254
N6 N14 1401
N9 N12 1042
N9 N13 836
N10 N5 785
N10 N11 957
N10 N12 947
N10 N14 1222
N11 N13 1604
N11 N14 1625
N12 N13 836
N12 N15 1418
N14 N16 1109
N15 N16 1030
N15 N18 1208
N16 N17 1182
N16 N19 1317
N17 N15 845
N17 N19 880
N18 N17 771
N18 N19 1777
