30
N0 5442
N1 4317
N2 5032
N3 4955
N4 5890
N5 6499
N6 1900
N7 4051
N8 8228
N9 6000
N10 6135
N11 8555
N12 3401
N13 6309
N14 1570
N15 1710
N16 3820
N17 8285
N18 2513
N19 2946
N20 4132
N21 6459
N22 658
N23 7020
N24 4433
N25 6284
N26 4848
N27 1871
N28 5191
N29 1571
5
P0 N6 N15
P1 N7 N9
P2 N17 N28 N14
P3 N3 N19 N11
P4 N8 N18 N22 N27 N1
74
N6 N15 305
N7 N9 719
N17 N28 671
N17 N14 577
N3 N19 561
N3 N11 511
N19 N11 426
N8 N18 328
N8 N27 423
N8 N1 516
N18 N22 736
N18 N27 461
N18 N1 486
N22 N1 685
N27 N22 551
N0 N1 8252
N0 N2 1976
N0 N3 1305
N0 N6 9851
N0 N8 5450
N1 N2 9463
N2 N5 15287
N2 N7 1980
N2 N8 14901
N3 N5 10794
N5 N6 9490
N5 N13 3765
N5 N16 13180
N6 N9 8890
N6 N11 9601
N7 N3 7771
N7 N4 14659
N7 N10 15756
N9 N4 1043
N9 N10 4795
N9 N13 13393
N10 N4 4352
N10 N11 3526
N10 N13 14490
N11 N14 4748
N12 N4 12777
N12 N14 6866
N12 N18 797
N12 N21 7569
N12 N29 6214
N13 N14 11486
N13 N15 4601
N14 N4 5080
N15 N16 14082
N15 N17 9344
N15 N19 10385
N16 N17 14442
N16 N19 12972
N16 N20 15142
N17 N19 9406
N20 N21 577
N20 N26 1781
N20 N28 15649
N21 N22 14728
N21 N24 11095
N22 N20 11371
N23 N24 11058
N23 N25 3663
N23 N28 3308
N23 N29 342
N24 N26 12427
N24 N27 9023
N24 N28 4902
N25 N21 12840
N25 N28 15111
N26 N23 361
N26 N25 13881
N26 N27 16049
N29 N25 13826
